object,frame,xmin,xmax,ymin,ymax,points,timestep,area,xcenter,ycenter
559,615,569,752,342,929,"[[569, 342], [752, 342], [752, 929], [569, 929], [569, 342]]",123,107421,660.5,635.5
115,615,742,827,184,475,"[[742, 184], [827, 184], [827, 475], [742, 475], [742, 184]]",123,24735,784.5,329.5
559,620,605,785,339,924,"[[605, 339], [785, 339], [785, 924], [605, 924], [605, 339]]",124,105300,695.0,631.5
585,620,605,723,237,624,"[[605, 237], [723, 237], [723, 624], [605, 624], [605, 237]]",124,45666,664.0,430.5
413,620,450,499,131,285,"[[450, 131], [499, 131], [499, 285], [450, 285], [450, 131]]",124,7546,474.5,208.0
562,620,358,408,136,291,"[[358, 136], [408, 136], [408, 291], [358, 291], [358, 136]]",124,7750,383.0,213.5
196,620,1825,1920,158,506,"[[1825, 158], [1920, 158], [1920, 506], [1825, 506], [1825, 158]]",124,33060,1872.5,332.0
255,620,374,537,305,804,"[[374, 305], [537, 305], [537, 804], [374, 804], [374, 305]]",124,81337,455.5,554.5
533,620,310,459,281,728,"[[310, 281], [459, 281], [459, 728], [310, 728], [310, 281]]",124,66603,384.5,504.5
49,620,889,998,225,615,"[[889, 225], [998, 225], [998, 615], [889, 615], [889, 225]]",124,42510,943.5,420.0
563,620,463,595,260,677,"[[463, 260], [595, 260], [595, 677], [463, 677], [463, 260]]",124,55044,529.0,468.5
147,620,1259,1305,106,287,"[[1259, 106], [1305, 106], [1305, 287], [1259, 287], [1259, 106]]",124,8326,1282.0,196.5
115,620,742,827,184,475,"[[742, 184], [827, 184], [827, 475], [742, 475], [742, 184]]",124,24735,784.5,329.5
16,620,1002,1045,108,270,"[[1002, 108], [1045, 108], [1045, 270], [1002, 270], [1002, 108]]",124,6966,1023.5,189.0
160,620,1454,1555,171,506,"[[1454, 171], [1555, 171], [1555, 506], [1454, 506], [1454, 171]]",124,33835,1504.5,338.5
413,625,461,508,128,278,"[[461, 128], [508, 128], [508, 278], [461, 278], [461, 128]]",125,7050,484.5,203.0
255,625,538,692,296,792,"[[538, 296], [692, 296], [692, 792], [538, 792], [538, 296]]",125,76384,615.0,544.0
533,625,550,689,270,718,"[[550, 270], [689, 270], [689, 718], [550, 718], [550, 270]]",125,62272,619.5,494.0
147,625,1261,1307,105,287,"[[1261, 105], [1307, 105], [1307, 287], [1261, 287], [1261, 105]]",125,8372,1284.0,196.0
49,625,1008,1114,222,615,"[[1008, 222], [1114, 222], [1114, 615], [1008, 615], [1008, 222]]",125,41658,1061.0,418.5
196,625,1745,1862,155,486,"[[1745, 155], [1862, 155], [1862, 486], [1745, 486], [1745, 155]]",125,38727,1803.5,320.5
160,625,1380,1467,161,470,"[[1380, 161], [1467, 161], [1467, 470], [1380, 470], [1380, 161]]",125,26883,1423.5,315.5
559,625,621,794,328,894,"[[621, 328], [794, 328], [794, 894], [621, 894], [621, 328]]",125,97918,707.5,611.0
563,625,469,601,259,676,"[[469, 259], [601, 259], [601, 676], [469, 676], [469, 259]]",125,55044,535.0,467.5
562,625,380,428,133,284,"[[380, 133], [428, 133], [428, 284], [380, 284], [380, 133]]",125,7248,404.0,208.5
585,625,748,865,237,635,"[[748, 237], [865, 237], [865, 635], [748, 635], [748, 237]]",125,46566,806.5,436.0
16,625,1002,1045,108,270,"[[1002, 108], [1045, 108], [1045, 270], [1002, 270], [1002, 108]]",125,6966,1023.5,189.0
115,625,742,827,184,475,"[[742, 184], [827, 184], [827, 475], [742, 475], [742, 184]]",125,24735,784.5,329.5
585,630,869,983,233,636,"[[869, 233], [983, 233], [983, 636], [869, 636], [869, 233]]",126,45942,926.0,434.5
255,630,715,865,292,797,"[[715, 292], [865, 292], [865, 797], [715, 797], [715, 292]]",126,75750,790.0,544.5
196,630,1649,1755,151,467,"[[1649, 151], [1755, 151], [1755, 467], [1649, 467], [1649, 151]]",126,33496,1702.0,309.0
413,630,466,512,126,272,"[[466, 126], [512, 126], [512, 272], [466, 272], [466, 126]]",126,6716,489.0,199.0
533,630,777,906,258,702,"[[777, 258], [906, 258], [906, 702], [777, 702], [777, 258]]",126,57276,841.5,480.0
160,630,1356,1437,154,447,"[[1356, 154], [1437, 154], [1437, 447], [1356, 447], [1356, 154]]",126,23733,1396.5,300.5
147,630,1261,1307,105,287,"[[1261, 105], [1307, 105], [1307, 287], [1261, 287], [1261, 105]]",126,8372,1284.0,196.0
563,630,463,595,260,677,"[[463, 260], [595, 260], [595, 677], [463, 677], [463, 260]]",126,55044,529.0,468.5
559,630,658,823,315,859,"[[658, 315], [823, 315], [823, 859], [658, 859], [658, 315]]",126,89760,740.5,587.0
562,630,398,445,130,276,"[[398, 130], [445, 130], [445, 276], [398, 276], [398, 130]]",126,6862,421.5,203.0
16,630,1006,1049,108,270,"[[1006, 108], [1049, 108], [1049, 270], [1006, 270], [1006, 108]]",126,6966,1027.5,189.0
49,630,1145,1250,222,629,"[[1145, 222], [1250, 222], [1250, 629], [1145, 629], [1145, 222]]",126,42735,1197.5,425.5
115,630,742,827,184,475,"[[742, 184], [827, 184], [827, 475], [742, 475], [742, 184]]",126,24735,784.5,329.5
196,635,1649,1755,151,467,"[[1649, 151], [1755, 151], [1755, 467], [1649, 467], [1649, 151]]",127,33496,1702.0,309.0
413,635,466,512,126,272,"[[466, 126], [512, 126], [512, 272], [466, 272], [466, 126]]",127,6716,489.0,199.0
255,635,907,1048,281,781,"[[907, 281], [1048, 281], [1048, 781], [907, 781], [907, 281]]",127,70500,977.5,531.0
533,635,777,906,258,702,"[[777, 258], [906, 258], [906, 702], [777, 702], [777, 258]]",127,57276,841.5,480.0
585,635,1033,1148,237,664,"[[1033, 237], [1148, 237], [1148, 664], [1033, 664], [1033, 237]]",127,49105,1090.5,450.5
160,635,1356,1437,154,447,"[[1356, 154], [1437, 154], [1437, 447], [1356, 447], [1356, 154]]",127,23733,1396.5,300.5
147,635,1261,1307,105,287,"[[1261, 105], [1307, 105], [1307, 287], [1261, 287], [1261, 105]]",127,8372,1284.0,196.0
563,635,463,595,260,677,"[[463, 260], [595, 260], [595, 677], [463, 677], [463, 260]]",127,55044,529.0,468.5
559,635,658,823,315,859,"[[658, 315], [823, 315], [823, 859], [658, 859], [658, 315]]",127,89760,740.5,587.0
562,635,398,445,130,276,"[[398, 130], [445, 130], [445, 276], [398, 276], [398, 130]]",127,6862,421.5,203.0
16,635,1006,1049,108,270,"[[1006, 108], [1049, 108], [1049, 270], [1006, 270], [1006, 108]]",127,6966,1027.5,189.0
49,635,1145,1250,222,629,"[[1145, 222], [1250, 222], [1250, 629], [1145, 629], [1145, 222]]",127,42735,1197.5,425.5
115,635,742,827,184,475,"[[742, 184], [827, 184], [827, 475], [742, 475], [742, 184]]",127,24735,784.5,329.5
585,640,1179,1293,236,674,"[[1179, 236], [1293, 236], [1293, 674], [1179, 674], [1179, 236]]",128,49932,1236.0,455.0
555,640,1214,1342,256,738,"[[1214, 256], [1342, 256], [1342, 738], [1214, 738], [1214, 256]]",128,61696,1278.0,497.0
563,640,463,595,260,677,"[[463, 260], [595, 260], [595, 677], [463, 677], [463, 260]]",128,55044,529.0,468.5
413,640,491,533,121,258,"[[491, 121], [533, 121], [533, 258], [491, 258], [491, 121]]",128,5754,512.0,189.5
624,640,1555,1865,446,1280,"[[1555, 446], [1865, 446], [1865, 1280], [1555, 1280], [1555, 446]]",128,258540,1710.0,863.0
559,640,639,793,297,805,"[[639, 297], [793, 297], [793, 805], [639, 805], [639, 297]]",128,78232,716.0,551.0
115,640,762,846,182,473,"[[762, 182], [846, 182], [846, 473], [762, 473], [762, 182]]",128,24444,804.0,327.5
196,640,1574,1669,147,444,"[[1574, 147], [1669, 147], [1669, 444], [1574, 444], [1574, 147]]",128,28215,1621.5,295.5
147,640,1261,1307,105,287,"[[1261, 105], [1307, 105], [1307, 287], [1261, 287], [1261, 105]]",128,8372,1284.0,196.0
49,640,1407,1533,219,644,"[[1407, 219], [1533, 219], [1533, 644], [1407, 644], [1407, 219]]",128,53550,1470.0,431.5
562,640,413,457,126,265,"[[413, 126], [457, 126], [457, 265], [413, 265], [413, 126]]",128,6116,435.0,195.5
16,640,1006,1049,108,270,"[[1006, 108], [1049, 108], [1049, 270], [1006, 270], [1006, 108]]",128,6966,1027.5,189.0
255,640,1053,1194,289,818,"[[1053, 289], [1194, 289], [1194, 818], [1053, 818], [1053, 289]]",128,74589,1123.5,553.5
160,640,1274,1344,145,409,"[[1274, 145], [1344, 145], [1344, 409], [1274, 409], [1274, 145]]",128,18480,1309.0,277.0
16,645,1006,1049,108,270,"[[1006, 108], [1049, 108], [1049, 270], [1006, 270], [1006, 108]]",129,6966,1027.5,189.0
585,645,1368,1502,239,702,"[[1368, 239], [1502, 239], [1502, 702], [1368, 702], [1368, 239]]",129,62042,1435.0,470.5
413,645,490,532,119,253,"[[490, 119], [532, 119], [532, 253], [490, 253], [490, 119]]",129,5628,511.0,186.0
563,645,434,569,263,685,"[[434, 263], [569, 263], [569, 685], [434, 685], [434, 263]]",129,56970,501.5,474.0
49,645,1531,1671,218,654,"[[1531, 218], [1671, 218], [1671, 654], [1531, 654], [1531, 218]]",129,61040,1601.0,436.0
196,645,1503,1591,145,433,"[[1503, 145], [1591, 145], [1591, 433], [1503, 433], [1503, 145]]",129,25344,1547.0,289.0
115,645,762,846,182,473,"[[762, 182], [846, 182], [846, 473], [762, 473], [762, 182]]",129,24444,804.0,327.5
611,645,1484,1648,262,782,"[[1484, 262], [1648, 262], [1648, 782], [1484, 782], [1484, 262]]",129,85280,1566.0,522.0
147,645,1261,1307,105,287,"[[1261, 105], [1307, 105], [1307, 287], [1261, 287], [1261, 105]]",129,8372,1284.0,196.0
255,645,1235,1388,297,859,"[[1235, 297], [1388, 297], [1388, 859], [1235, 859], [1235, 297]]",129,85986,1311.5,578.0
562,645,426,470,123,260,"[[426, 123], [470, 123], [470, 260], [426, 260], [426, 123]]",129,6028,448.0,191.5
160,645,1212,1275,141,391,"[[1212, 141], [1275, 141], [1275, 391], [1212, 391], [1212, 141]]",129,15750,1243.5,266.0
559,645,656,804,287,778,"[[656, 287], [804, 287], [804, 778], [656, 778], [656, 287]]",129,72668,730.0,532.5
49,650,1674,1829,214,659,"[[1674, 214], [1829, 214], [1829, 659], [1674, 659], [1674, 214]]",130,68975,1751.5,436.5
413,650,499,540,117,247,"[[499, 117], [540, 117], [540, 247], [499, 247], [499, 117]]",130,5330,519.5,182.0
611,650,1730,1920,266,816,"[[1730, 266], [1920, 266], [1920, 816], [1730, 816], [1730, 266]]",130,104500,1825.0,541.0
255,650,1429,1613,302,894,"[[1429, 302], [1613, 302], [1613, 894], [1429, 894], [1429, 302]]",130,108928,1521.0,598.0
16,650,1006,1049,108,270,"[[1006, 108], [1049, 108], [1049, 270], [1006, 270], [1006, 108]]",130,6966,1027.5,189.0
115,650,762,846,182,473,"[[762, 182], [846, 182], [846, 473], [762, 473], [762, 182]]",130,24444,804.0,327.5
177,650,82,164,187,423,"[[82, 187], [164, 187], [164, 423], [82, 423], [82, 187]]",130,19352,123.0,305.0
562,650,432,474,122,256,"[[432, 122], [474, 122], [474, 256], [432, 256], [432, 122]]",130,5628,453.0,189.0
147,650,1261,1307,105,287,"[[1261, 105], [1307, 105], [1307, 287], [1261, 287], [1261, 105]]",130,8372,1284.0,196.0
559,650,680,819,273,737,"[[680, 273], [819, 273], [819, 737], [680, 737], [680, 273]]",130,64496,749.5,505.0
563,650,431,562,258,670,"[[431, 258], [562, 258], [562, 670], [431, 670], [431, 258]]",130,53972,496.5,464.0
585,650,1541,1698,241,725,"[[1541, 241], [1698, 241], [1698, 725], [1541, 725], [1541, 241]]",130,75988,1619.5,483.0
160,650,1183,1244,137,377,"[[1183, 137], [1244, 137], [1244, 377], [1183, 377], [1183, 137]]",130,14640,1213.5,257.0
196,650,1442,1524,144,423,"[[1442, 144], [1524, 144], [1524, 423], [1442, 423], [1442, 144]]",130,22878,1483.0,283.5
160,655,1144,1202,134,363,"[[1144, 134], [1202, 134], [1202, 363], [1144, 363], [1144, 134]]",131,13282,1173.0,248.5
428,655,50,207,293,739,"[[50, 293], [207, 293], [207, 739], [50, 739], [50, 293]]",131,70022,128.5,516.0
559,655,668,802,264,711,"[[668, 264], [802, 264], [802, 711], [668, 711], [668, 264]]",131,59898,735.0,487.5
413,655,507,546,115,243,"[[507, 115], [546, 115], [546, 243], [507, 243], [507, 115]]",131,4992,526.5,179.0
49,655,1790,1920,212,662,"[[1790, 212], [1920, 212], [1920, 662], [1790, 662], [1790, 212]]",131,58500,1855.0,437.0
585,655,1708,1888,242,744,"[[1708, 242], [1888, 242], [1888, 744], [1708, 744], [1708, 242]]",131,90360,1798.0,493.0
562,655,439,480,120,250,"[[439, 120], [480, 120], [480, 250], [439, 250], [439, 120]]",131,5330,459.5,185.0
16,655,1008,1051,108,270,"[[1008, 108], [1051, 108], [1051, 270], [1008, 270], [1008, 108]]",131,6966,1029.5,189.0
147,655,1261,1307,105,287,"[[1261, 105], [1307, 105], [1307, 287], [1261, 287], [1261, 105]]",131,8372,1284.0,196.0
255,655,1644,1865,309,933,"[[1644, 309], [1865, 309], [1865, 933], [1644, 933], [1644, 309]]",131,137904,1754.5,621.0
563,655,431,562,258,670,"[[431, 258], [562, 258], [562, 670], [431, 670], [431, 258]]",131,53972,496.5,464.0
115,655,753,838,183,474,"[[753, 183], [838, 183], [838, 474], [753, 474], [753, 183]]",131,24735,795.5,328.5
177,655,136,217,185,421,"[[136, 185], [217, 185], [217, 421], [136, 421], [136, 185]]",131,19116,176.5,303.0
196,655,1398,1476,143,416,"[[1398, 143], [1476, 143], [1476, 416], [1398, 416], [1398, 143]]",131,21294,1437.0,279.5
562,660,441,481,118,246,"[[441, 118], [481, 118], [481, 246], [441, 246], [441, 118]]",132,5120,461.0,182.0
428,660,158,315,294,751,"[[158, 294], [315, 294], [315, 751], [158, 751], [158, 294]]",132,71749,236.5,522.5
198,660,69,154,193,439,"[[69, 193], [154, 193], [154, 439], [69, 439], [69, 193]]",132,20910,111.5,316.0
115,660,753,838,183,474,"[[753, 183], [838, 183], [838, 474], [753, 474], [753, 183]]",132,24735,795.5,328.5
49,660,1868,1920,212,670,"[[1868, 212], [1920, 212], [1920, 670], [1868, 670], [1868, 212]]",132,23816,1894.0,441.0
177,660,198,278,182,419,"[[198, 182], [278, 182], [278, 419], [198, 419], [198, 182]]",132,18960,238.0,300.5
16,660,1008,1051,108,270,"[[1008, 108], [1051, 108], [1051, 270], [1008, 270], [1008, 108]]",132,6966,1029.5,189.0
147,660,1261,1307,105,287,"[[1261, 105], [1307, 105], [1307, 287], [1261, 287], [1261, 105]]",132,8372,1284.0,196.0
585,660,1895,1920,240,757,"[[1895, 240], [1920, 240], [1920, 757], [1895, 757], [1895, 240]]",132,12925,1907.5,498.5
563,660,431,562,258,670,"[[431, 258], [562, 258], [562, 670], [431, 670], [431, 258]]",132,53972,496.5,464.0
160,660,1101,1158,131,349,"[[1101, 131], [1158, 131], [1158, 349], [1101, 349], [1101, 131]]",132,12426,1129.5,240.0
196,660,1341,1415,143,411,"[[1341, 143], [1415, 143], [1415, 411], [1341, 411], [1341, 143]]",132,19832,1378.0,277.0
559,660,692,820,255,685,"[[692, 255], [820, 255], [820, 685], [692, 685], [692, 255]]",132,55040,756.0,470.0
147,665,1263,1309,105,287,"[[1263, 105], [1309, 105], [1309, 287], [1263, 287], [1263, 105]]",133,8372,1286.0,196.0
599,665,68,271,357,930,"[[68, 357], [271, 357], [271, 930], [68, 930], [68, 357]]",133,116319,169.5,643.5
115,665,753,838,183,474,"[[753, 183], [838, 183], [838, 474], [753, 474], [753, 183]]",133,24735,795.5,328.5
160,665,1057,1112,129,339,"[[1057, 129], [1112, 129], [1112, 339], [1057, 339], [1057, 129]]",133,11550,1084.5,234.0
196,665,1286,1355,144,407,"[[1286, 144], [1355, 144], [1355, 407], [1286, 407], [1286, 144]]",133,18147,1320.5,275.5
198,665,106,191,191,435,"[[106, 191], [191, 191], [191, 435], [106, 435], [106, 191]]",133,20740,148.5,313.0
428,665,281,438,295,766,"[[281, 295], [438, 295], [438, 766], [281, 766], [281, 295]]",133,73947,359.5,530.5
177,665,245,323,180,416,"[[245, 180], [323, 180], [323, 416], [245, 416], [245, 180]]",133,18408,284.0,298.0
16,665,1008,1051,108,270,"[[1008, 108], [1051, 108], [1051, 270], [1008, 270], [1008, 108]]",133,6966,1029.5,189.0
559,665,684,808,249,666,"[[684, 249], [808, 249], [808, 666], [684, 666], [684, 249]]",133,51708,746.0,457.5
248,665,74,255,326,838,"[[74, 326], [255, 326], [255, 838], [74, 838], [74, 326]]",133,92672,164.5,582.0
554,665,429,926,852,1280,"[[429, 852], [926, 852], [926, 1280], [429, 1280], [429, 852]]",133,212716,677.5,1066.0
563,665,425,557,259,671,"[[425, 259], [557, 259], [557, 671], [425, 671], [425, 259]]",133,54384,491.0,465.0
147,670,1263,1309,105,287,"[[1263, 105], [1309, 105], [1309, 287], [1263, 287], [1263, 105]]",134,8372,1286.0,196.0
177,670,299,377,177,414,"[[299, 177], [377, 177], [377, 414], [299, 414], [299, 177]]",134,18486,338.0,295.5
563,670,400,533,260,674,"[[400, 260], [533, 260], [533, 674], [400, 674], [400, 260]]",134,55062,466.5,467.0
428,670,427,586,300,796,"[[427, 300], [586, 300], [586, 796], [427, 796], [427, 300]]",134,78864,506.5,548.0
16,670,1008,1051,108,270,"[[1008, 108], [1051, 108], [1051, 270], [1008, 270], [1008, 108]]",134,6966,1029.5,189.0
559,670,671,792,243,648,"[[671, 243], [792, 243], [792, 648], [671, 648], [671, 243]]",134,49005,731.5,445.5
198,670,157,239,186,427,"[[157, 186], [239, 186], [239, 427], [157, 427], [157, 186]]",134,19762,198.0,306.5
160,670,1032,1085,126,327,"[[1032, 126], [1085, 126], [1085, 327], [1032, 327], [1032, 126]]",134,10653,1058.5,226.5
248,670,227,407,328,858,"[[227, 328], [407, 328], [407, 858], [227, 858], [227, 328]]",134,95400,317.0,593.0
115,670,755,839,183,474,"[[755, 183], [839, 183], [839, 474], [755, 474], [755, 183]]",134,24444,797.0,328.5
599,670,147,356,369,970,"[[147, 369], [356, 369], [356, 970], [147, 970], [147, 369]]",134,125609,251.5,669.5
196,670,1255,1323,145,408,"[[1255, 145], [1323, 145], [1323, 408], [1255, 408], [1255, 145]]",134,17884,1289.0,276.5
428,675,594,747,294,791,"[[594, 294], [747, 294], [747, 791], [594, 791], [594, 294]]",135,76041,670.5,542.5
198,675,212,292,183,423,"[[212, 183], [292, 183], [292, 423], [212, 423], [212, 183]]",135,19200,252.0,303.0
559,675,651,771,240,637,"[[651, 240], [771, 240], [771, 637], [651, 637], [651, 240]]",135,47640,711.0,438.5
177,675,320,398,178,416,"[[320, 178], [398, 178], [398, 416], [320, 416], [320, 178]]",135,18564,359.0,297.0
160,675,1012,1064,124,320,"[[1012, 124], [1064, 124], [1064, 320], [1012, 320], [1012, 124]]",135,10192,1038.0,222.0
353,675,88,166,182,409,"[[88, 182], [166, 182], [166, 409], [88, 409], [88, 182]]",135,17706,127.0,295.5
248,675,373,556,337,897,"[[373, 337], [556, 337], [556, 897], [373, 897], [373, 337]]",135,102480,464.5,617.0
196,675,1206,1272,146,407,"[[1206, 146], [1272, 146], [1272, 407], [1206, 407], [1206, 146]]",135,17226,1239.0,276.5
599,675,362,567,370,992,"[[362, 370], [567, 370], [567, 992], [362, 992], [362, 370]]",135,127510,464.5,681.0
147,675,1261,1307,105,287,"[[1261, 105], [1307, 105], [1307, 287], [1261, 287], [1261, 105]]",135,8372,1284.0,196.0
563,675,387,521,261,674,"[[387, 261], [521, 261], [521, 674], [387, 674], [387, 261]]",135,55342,454.0,467.5
294,675,101,265,301,768,"[[101, 301], [265, 301], [265, 768], [101, 768], [101, 301]]",135,76588,183.0,534.5
115,675,755,839,183,474,"[[755, 183], [839, 183], [839, 474], [755, 474], [755, 183]]",135,24444,797.0,328.5
16,675,1018,1061,108,270,"[[1018, 108], [1061, 108], [1061, 270], [1018, 270], [1018, 108]]",135,6966,1039.5,189.0
353,680,161,238,179,406,"[[161, 179], [238, 179], [238, 406], [161, 406], [161, 179]]",136,17479,199.5,292.5
198,680,258,336,178,413,"[[258, 178], [336, 178], [336, 413], [258, 413], [258, 178]]",136,18330,297.0,295.5
559,680,666,780,231,611,"[[666, 231], [780, 231], [780, 611], [666, 611], [666, 231]]",136,43320,723.0,421.0
147,680,1267,1313,105,286,"[[1267, 105], [1313, 105], [1313, 286], [1267, 286], [1267, 105]]",136,8326,1290.0,195.5
196,680,1153,1219,147,405,"[[1153, 147], [1219, 147], [1219, 405], [1153, 405], [1153, 147]]",136,17028,1186.0,276.0
160,680,976,1027,121,308,"[[976, 121], [1027, 121], [1027, 308], [976, 308], [976, 121]]",136,9537,1001.5,214.5
16,680,1018,1061,108,270,"[[1018, 108], [1061, 108], [1061, 270], [1018, 270], [1018, 108]]",136,6966,1039.5,189.0
177,680,362,440,176,416,"[[362, 176], [440, 176], [440, 416], [362, 416], [362, 176]]",136,18720,401.0,296.0
428,680,754,905,295,810,"[[754, 295], [905, 295], [905, 810], [754, 810], [754, 295]]",136,77765,829.5,552.5
599,680,531,738,380,1038,"[[531, 380], [738, 380], [738, 1038], [531, 1038], [531, 380]]",136,136206,634.5,709.0
294,680,211,376,305,790,"[[211, 305], [376, 305], [376, 790], [211, 790], [211, 305]]",136,80025,293.5,547.5
563,680,387,521,261,674,"[[387, 261], [521, 261], [521, 674], [387, 674], [387, 261]]",136,55342,454.0,467.5
115,680,755,839,183,474,"[[755, 183], [839, 183], [839, 474], [755, 474], [755, 183]]",136,24444,797.0,328.5
248,680,568,745,331,899,"[[568, 331], [745, 331], [745, 899], [568, 899], [568, 331]]",136,100536,656.5,615.0
147,685,1267,1313,105,286,"[[1267, 105], [1313, 105], [1313, 286], [1267, 286], [1267, 105]]",137,8326,1290.0,195.5
559,685,661,775,231,612,"[[661, 231], [775, 231], [775, 612], [661, 612], [661, 231]]",137,43434,718.0,421.5
160,685,976,1027,121,308,"[[976, 121], [1027, 121], [1027, 308], [976, 308], [976, 121]]",137,9537,1001.5,214.5
16,685,1018,1061,108,270,"[[1018, 108], [1061, 108], [1061, 270], [1018, 270], [1018, 108]]",137,6966,1039.5,189.0
294,685,211,376,305,790,"[[211, 305], [376, 305], [376, 790], [211, 790], [211, 305]]",137,80025,293.5,547.5
177,685,362,440,176,416,"[[362, 176], [440, 176], [440, 416], [362, 416], [362, 176]]",137,18720,401.0,296.0
428,685,754,905,295,810,"[[754, 295], [905, 295], [905, 810], [754, 810], [754, 295]]",137,77765,829.5,552.5
599,685,531,738,380,1038,"[[531, 380], [738, 380], [738, 1038], [531, 1038], [531, 380]]",137,136206,634.5,709.0
198,685,310,387,175,409,"[[310, 175], [387, 175], [387, 409], [310, 409], [310, 175]]",137,18018,348.5,292.0
563,685,387,521,261,674,"[[387, 261], [521, 261], [521, 674], [387, 674], [387, 261]]",137,55342,454.0,467.5
115,685,755,839,183,474,"[[755, 183], [839, 183], [839, 474], [755, 474], [755, 183]]",137,24444,797.0,328.5
196,685,1149,1215,147,404,"[[1149, 147], [1215, 147], [1215, 404], [1149, 404], [1149, 147]]",137,16962,1182.0,275.5
248,685,568,745,331,899,"[[568, 331], [745, 331], [745, 899], [568, 899], [568, 331]]",137,100536,656.5,615.0
353,685,231,306,175,399,"[[231, 175], [306, 175], [306, 399], [231, 399], [231, 175]]",137,16800,268.5,287.0
16,690,1024,1067,107,269,"[[1024, 107], [1067, 107], [1067, 269], [1024, 269], [1024, 107]]",138,6966,1045.5,188.0
160,690,957,1005,116,291,"[[957, 116], [1005, 116], [1005, 291], [957, 291], [957, 116]]",138,8400,981.0,203.5
147,690,1272,1319,104,285,"[[1272, 104], [1319, 104], [1319, 285], [1272, 285], [1272, 104]]",138,8507,1295.5,194.5
559,690,643,756,230,607,"[[643, 230], [756, 230], [756, 607], [643, 607], [643, 230]]",138,42601,699.5,418.5
502,690,50,206,290,731,"[[50, 290], [206, 290], [206, 731], [50, 731], [50, 290]]",138,68796,128.0,510.5
248,690,1032,1202,340,967,"[[1032, 340], [1202, 340], [1202, 967], [1032, 967], [1032, 340]]",138,106590,1117.0,653.5
563,690,387,521,261,674,"[[387, 261], [521, 261], [521, 674], [387, 674], [387, 261]]",138,55342,454.0,467.5
599,690,949,1161,414,1172,"[[949, 414], [1161, 414], [1161, 1172], [949, 1172], [949, 414]]",138,160696,1055.0,793.0
294,690,572,728,299,805,"[[572, 299], [728, 299], [728, 805], [572, 805], [572, 299]]",138,78936,650.0,552.0
115,690,755,839,183,474,"[[755, 183], [839, 183], [839, 474], [755, 474], [755, 183]]",138,24444,797.0,328.5
196,690,1136,1202,148,404,"[[1136, 148], [1202, 148], [1202, 404], [1136, 404], [1136, 148]]",138,16896,1169.0,276.0
353,690,287,360,171,392,"[[287, 171], [360, 171], [360, 392], [287, 392], [287, 171]]",138,16133,323.5,281.5
503,690,108,182,175,388,"[[108, 175], [182, 175], [182, 388], [108, 388], [108, 175]]",138,15762,145.0,281.5
198,690,372,447,172,403,"[[372, 172], [447, 172], [447, 403], [372, 403], [372, 172]]",138,17325,409.5,287.5
177,690,437,516,177,425,"[[437, 177], [516, 177], [516, 425], [437, 425], [437, 177]]",138,19592,476.5,301.0
428,690,1105,1248,293,835,"[[1105, 293], [1248, 293], [1248, 835], [1105, 835], [1105, 293]]",138,77506,1176.5,564.0
563,695,389,523,262,677,"[[389, 262], [523, 262], [523, 677], [389, 677], [389, 262]]",139,55610,456.0,469.5
160,695,943,988,114,281,"[[943, 114], [988, 114], [988, 281], [943, 281], [943, 114]]",139,7515,965.5,197.5
353,695,369,439,165,383,"[[369, 165], [439, 165], [439, 383], [369, 383], [369, 165]]",139,15260,404.0,274.0
428,695,1290,1450,297,865,"[[1290, 297], [1450, 297], [1450, 865], [1290, 865], [1290, 297]]",139,90880,1370.0,581.0
248,695,1243,1426,349,1011,"[[1243, 349], [1426, 349], [1426, 1011], [1243, 1011], [1243, 349]]",139,121146,1334.5,680.0
599,695,1239,1466,422,1220,"[[1239, 422], [1466, 422], [1466, 1220], [1239, 1220], [1239, 422]]",139,181146,1352.5,821.0
294,695,779,927,291,801,"[[779, 291], [927, 291], [927, 801], [779, 801], [779, 291]]",139,75480,853.0,546.0
16,695,1032,1074,107,268,"[[1032, 107], [1074, 107], [1074, 268], [1032, 268], [1032, 107]]",139,6762,1053.0,187.5
177,695,467,546,176,426,"[[467, 176], [546, 176], [546, 426], [467, 426], [467, 176]]",139,19750,506.5,301.0
115,695,758,843,183,474,"[[758, 183], [843, 183], [843, 474], [758, 474], [758, 183]]",139,24735,800.5,328.5
145,695,85,281,348,903,"[[85, 348], [281, 348], [281, 903], [85, 903], [85, 348]]",139,108780,183.0,625.5
502,695,157,314,292,746,"[[157, 292], [314, 292], [314, 746], [157, 746], [157, 292]]",139,71278,235.5,519.0
147,695,1272,1319,104,285,"[[1272, 104], [1319, 104], [1319, 285], [1272, 285], [1272, 104]]",139,8507,1295.5,194.5
503,695,169,238,169,374,"[[169, 169], [238, 169], [238, 374], [169, 374], [169, 169]]",139,14145,203.5,271.5
198,695,434,507,167,396,"[[434, 167], [507, 167], [507, 396], [434, 396], [434, 167]]",139,16717,470.5,281.5
196,695,1107,1174,150,407,"[[1107, 150], [1174, 150], [1174, 407], [1107, 407], [1107, 150]]",139,17219,1140.5,278.5
485,695,75,146,173,379,"[[75, 173], [146, 173], [146, 379], [75, 379], [75, 173]]",139,14626,110.5,276.0
559,695,641,754,228,601,"[[641, 228], [754, 228], [754, 601], [641, 601], [641, 228]]",139,42149,697.5,414.5
502,700,280,437,294,764,"[[280, 294], [437, 294], [437, 764], [280, 764], [280, 294]]",140,73790,358.5,529.0
